epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.0771,1.80197,2.83667,1.825,0.64017,0.49879,0.45675,0.18744,1.85989,1.83595,1.95641,0.000367371,0.000367371,0.000367371
2,36.999,1.72021,1.93894,1.76265,0.74036,0.50509,0.53472,0.23616,1.75706,1.67725,1.88189,0.000730401,0.000730401,0.000730401
3,54.5671,1.68473,1.84215,1.72425,0.73285,0.49076,0.5164,0.1859,2.04816,1.62553,2.10334,0.0010861,0.0010861,0.0010861
4,72.0214,1.66963,1.79665,1.72813,0.73431,0.53776,0.56861,0.2745,1.64579,1.65131,1.76075,0.001078,0.001078,0.001078
5,89.2731,1.62786,1.71595,1.69507,0.77184,0.56112,0.59818,0.2502,1.83822,1.38212,1.90633,0.001067,0.001067,0.001067
6,106.553,1.62772,1.65767,1.68824,0.79914,0.56978,0.62427,0.27869,1.77871,1.30585,1.85514,0.00105601,0.00105601,0.00105601
7,123.509,1.59474,1.62016,1.67298,0.81358,0.6,0.67109,0.29284,1.78051,1.24583,1.84869,0.00104501,0.00104501,0.00104501
8,140.489,1.57185,1.58448,1.64134,0.85933,0.58128,0.68151,0.33303,1.62116,1.10287,1.66491,0.00103401,0.00103401,0.00103401
9,157.953,1.54692,1.543,1.63997,0.81768,0.57841,0.6827,0.32635,1.59614,1.17464,1.69586,0.00102301,0.00102301,0.00102301
10,175.81,1.55589,1.51362,1.64336,0.86144,0.60484,0.71474,0.34146,1.61244,1.1375,1.70863,0.00101201,0.00101201,0.00101201
11,193.61,1.54014,1.50258,1.63312,0.86772,0.60789,0.71356,0.33923,1.62317,1.13683,1.69055,0.00100101,0.00100101,0.00100101
12,212.095,1.52769,1.46356,1.61731,0.85357,0.6359,0.77351,0.35795,1.62092,1.04778,1.68817,0.000990012,0.000990012,0.000990012
