epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6797,1.40878,2.7283,1.42688,0.97731,0.13387,0.37769,0.19927,1.4102,2.94949,1.54815,0.000364455,0.000364455,0.000364455
2,20.2022,1.42296,1.44427,1.42356,0.79519,0.51886,0.60107,0.29842,1.59079,1.63673,1.68626,0.000727514,0.000727514,0.000727514
3,29.5246,1.39108,1.29438,1.38576,0.79693,0.54859,0.61089,0.31477,1.53679,1.35178,1.65862,0.00108324,0.00108324,0.00108324
4,39.1585,1.40071,1.25094,1.39225,0.74738,0.52933,0.69154,0.34861,1.52878,1.28266,1.59402,0.001078,0.001078,0.001078
5,48.682,1.37253,1.14947,1.35128,0.70856,0.68861,0.75304,0.38807,1.50051,1.12823,1.55971,0.001067,0.001067,0.001067
6,58.1929,1.36229,1.1388,1.36343,0.58878,0.75316,0.72636,0.36619,1.4935,1.15779,1.57489,0.00105601,0.00105601,0.00105601
7,67.3518,1.34342,1.08799,1.34412,0.73444,0.68034,0.76677,0.40085,1.42214,0.98801,1.53294,0.00104501,0.00104501,0.00104501
8,76.4534,1.34529,1.08868,1.33439,0.67167,0.69188,0.75223,0.39777,1.46241,1.05963,1.5164,0.00103401,0.00103401,0.00103401
9,85.4081,1.30982,1.011,1.31998,0.74233,0.75419,0.7944,0.43273,1.42691,0.90606,1.51938,0.00102301,0.00102301,0.00102301
10,94.3615,1.33029,1.01131,1.31804,0.74543,0.80378,0.80035,0.41406,1.46533,0.95528,1.52358,0.00101201,0.00101201,0.00101201
11,103.124,1.31371,0.99421,1.31016,0.68295,0.72841,0.77228,0.41885,1.44054,0.91562,1.52246,0.00100101,0.00100101,0.00100101
12,112.355,1.3072,0.95241,1.30687,0.81143,0.67764,0.7774,0.41042,1.45527,0.91133,1.50931,0.000990012,0.000990012,0.000990012
13,121.564,1.3006,0.93612,1.29313,0.69808,0.75811,0.78575,0.42125,1.43327,0.93938,1.5096,0.000979013,0.000979013,0.000979013
14,130.727,1.29701,0.93053,1.28767,0.7586,0.81167,0.82517,0.45109,1.40183,0.83985,1.47561,0.000968014,0.000968014,0.000968014
15,139.76,1.27218,0.91522,1.29402,0.71512,0.78914,0.84075,0.4491,1.40905,0.84671,1.4841,0.000957015,0.000957015,0.000957015
16,148.607,1.27232,0.90159,1.28538,0.69609,0.77253,0.78173,0.43347,1.4143,0.89431,1.47784,0.000946016,0.000946016,0.000946016
17,157.304,1.26872,0.88026,1.2793,0.82911,0.68327,0.78753,0.43105,1.40589,0.88356,1.47584,0.000935018,0.000935018,0.000935018
18,166.027,1.26267,0.86932,1.27512,0.70034,0.81251,0.808,0.42848,1.4459,0.85155,1.5092,0.000924019,0.000924019,0.000924019
19,174.864,1.27523,0.86073,1.27521,0.79424,0.8311,0.86793,0.47036,1.39541,0.81405,1.48724,0.00091302,0.00091302,0.00091302
20,183.979,1.25739,0.84495,1.28225,0.78656,0.80894,0.86076,0.47341,1.39719,0.7629,1.4777,0.000902021,0.000902021,0.000902021
21,192.699,1.25918,0.85254,1.26607,0.81959,0.78531,0.8225,0.47417,1.35854,0.79822,1.45239,0.000891022,0.000891022,0.000891022
22,201.748,1.25128,0.83324,1.26194,0.75595,0.78602,0.81327,0.44926,1.40109,0.79607,1.48847,0.000880023,0.000880023,0.000880023
23,210.568,1.23718,0.83472,1.26013,0.87761,0.74094,0.83522,0.47007,1.39753,0.76983,1.47855,0.000869024,0.000869024,0.000869024
24,219.332,1.24682,0.82633,1.26739,0.74713,0.79525,0.82652,0.46815,1.37245,0.76756,1.45323,0.000858025,0.000858025,0.000858025
25,228.18,1.21662,0.81581,1.244,0.7509,0.79124,0.8251,0.4385,1.41545,0.81407,1.47904,0.000847026,0.000847026,0.000847026
26,236.908,1.21217,0.79248,1.24151,0.79282,0.74731,0.84461,0.45615,1.42423,0.76957,1.48354,0.000836027,0.000836027,0.000836027
27,245.878,1.22551,0.80732,1.26162,0.85126,0.73637,0.8178,0.46622,1.37499,0.76349,1.46934,0.000825029,0.000825029,0.000825029
28,254.571,1.21819,0.78522,1.2456,0.76739,0.78868,0.82711,0.46713,1.37258,0.75002,1.46018,0.00081403,0.00081403,0.00081403
29,263.31,1.20526,0.77895,1.2455,0.81849,0.7945,0.85138,0.45337,1.42834,0.74961,1.51189,0.000803031,0.000803031,0.000803031
30,271.89,1.1919,0.76257,1.23054,0.85199,0.70751,0.82008,0.45214,1.4284,0.7738,1.49302,0.000792032,0.000792032,0.000792032
31,280.586,1.20005,0.77317,1.2371,0.8238,0.79077,0.85321,0.47141,1.41762,0.77179,1.48749,0.000781033,0.000781033,0.000781033
32,289.434,1.19014,0.76514,1.23001,0.85803,0.82587,0.88807,0.4733,1.42141,0.74246,1.50722,0.000770034,0.000770034,0.000770034
33,298.232,1.18707,0.75578,1.22266,0.77615,0.79665,0.80403,0.45867,1.38208,0.76935,1.4562,0.000759035,0.000759035,0.000759035
34,306.948,1.188,0.74931,1.23231,0.84658,0.76545,0.82992,0.45598,1.38313,0.74382,1.45214,0.000748036,0.000748036,0.000748036
35,315.807,1.18501,0.73612,1.22425,0.82601,0.84661,0.85184,0.49133,1.35195,0.69481,1.42225,0.000737037,0.000737037,0.000737037
36,324.506,1.15566,0.71855,1.205,0.71768,0.78741,0.80389,0.44547,1.39472,0.75775,1.48296,0.000726038,0.000726038,0.000726038
37,333.212,1.15924,0.73316,1.20707,0.82363,0.80387,0.85875,0.47574,1.3836,0.74484,1.48585,0.00071504,0.00071504,0.00071504
38,341.883,1.14577,0.70651,1.20881,0.79948,0.86478,0.85903,0.4816,1.3861,0.71228,1.47245,0.000704041,0.000704041,0.000704041
39,350.823,1.16371,0.70615,1.20242,0.80419,0.79718,0.84713,0.4713,1.36203,0.71634,1.45316,0.000693042,0.000693042,0.000693042
40,359.483,1.14246,0.69946,1.20065,0.86068,0.79735,0.8537,0.47324,1.39149,0.71673,1.48222,0.000682043,0.000682043,0.000682043
41,368.206,1.14413,0.69997,1.19667,0.85475,0.7696,0.84166,0.46338,1.40468,0.72454,1.48423,0.000671044,0.000671044,0.000671044
42,376.884,1.14205,0.69117,1.19705,0.89163,0.81891,0.87106,0.4895,1.37813,0.7085,1.4645,0.000660045,0.000660045,0.000660045
43,385.563,1.13435,0.69312,1.20706,0.86751,0.82702,0.8909,0.49188,1.39965,0.72431,1.47016,0.000649046,0.000649046,0.000649046
44,394.231,1.13511,0.68618,1.1968,0.82871,0.82402,0.85087,0.47811,1.38188,0.70725,1.48112,0.000638047,0.000638047,0.000638047
45,403.099,1.11944,0.67695,1.18163,0.77646,0.82252,0.85116,0.48061,1.3794,0.6943,1.45792,0.000627048,0.000627048,0.000627048
46,411.796,1.13317,0.67405,1.18908,0.77844,0.80683,0.84018,0.45944,1.40586,0.74233,1.49184,0.000616049,0.000616049,0.000616049
47,420.519,1.1079,0.66817,1.19125,0.78744,0.81906,0.83552,0.47117,1.38932,0.70533,1.45543,0.000605051,0.000605051,0.000605051
48,429.307,1.10956,0.65796,1.17925,0.85198,0.80461,0.86855,0.49399,1.36053,0.6984,1.46329,0.000594052,0.000594052,0.000594052
49,438.042,1.12395,0.66421,1.18377,0.87039,0.80798,0.86378,0.47649,1.42619,0.70608,1.51621,0.000583053,0.000583053,0.000583053
50,446.799,1.1126,0.65198,1.17153,0.85078,0.81602,0.84859,0.46932,1.41431,0.7016,1.51895,0.000572054,0.000572054,0.000572054
51,455.697,1.09695,0.64643,1.17307,0.79326,0.82577,0.83566,0.4645,1.41151,0.72141,1.49603,0.000561055,0.000561055,0.000561055
52,464.695,1.09333,0.64823,1.17213,0.8759,0.77198,0.84601,0.46806,1.40471,0.71926,1.49131,0.000550056,0.000550056,0.000550056
53,473.432,1.08779,0.64067,1.163,0.81975,0.80179,0.84713,0.47183,1.37873,0.70253,1.46382,0.000539057,0.000539057,0.000539057
54,482.183,1.0768,0.63905,1.16545,0.80522,0.81313,0.86496,0.49493,1.36239,0.68545,1.47573,0.000528058,0.000528058,0.000528058
55,491.034,1.0837,0.64008,1.16521,0.86086,0.80312,0.87427,0.48453,1.41375,0.68641,1.48701,0.000517059,0.000517059,0.000517059
56,499.86,1.07947,0.63308,1.16819,0.83171,0.8085,0.8688,0.48532,1.38337,0.68671,1.46804,0.00050606,0.00050606,0.00050606
57,508.712,1.06167,0.61993,1.14599,0.7917,0.77604,0.83113,0.48046,1.36489,0.69979,1.44754,0.000495062,0.000495062,0.000495062
